school,DBN,district,lat,long,address,City,zip,commSchool,eni,income,pctELL,pctAsian,pctBlack,pctHispanic,pctBlackHispanic,pctWhite,pctAttend,pctAbsentChronic,pctRigor,ratingRigor,pctCollab,ratingCollab,pctSupp,ratingSupp,pctLeader,ratingLeader,pctCommunity,ratingCommunity,pctTrust,ratingTrust,Student Achievement Rating,avgELA,avgMath,elaAll,elaAll4,elaBlack,elaHispanic,elaAsian,elaWhite,mathAll,mathAll4,mathBlack,mathHispanic,mathAsian,mathWhite,enroll,registered,took,regPct,tookPct,yield,academicScore,quantRigor,quantCollab,quantSupp,quantLeader,quantCommunity,quantTrust,pctELA4,pctELABlack,pctELAHispanic,pctELAAsian,pctELAWhite,pctMath4,pctMathBlack,pctMathHispanic,pctMathAsian,pctMathWhite,URM4
P.S. 58 - THE SCHOOL OF HEROES,24Q058,24,40.72851,-73.890603,"72-24 GRAND AVE MASPETH, NY 11378",MASPETH,11378,No,0.453,56598.6,0.14,0.38,0.02,0.38,0.4,0.21,0.95,0.13,0.86,Approaching Target,0.72,Approaching Target,0.91,Meeting Target,0.57,Not Meeting Target,0.79,Approaching Target,0.76,Approaching Target,Exceeding Target,2.92,3.04,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,5.96,2,2,3,1,2,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
I.S. 061 LEONARDO DA VINCI,24Q061,24,40.742087,-73.862808,"98-50 50TH AVE CORONA, NY 11368",CORONA,11368,No,0.748,NA,0.28,0.06,0.03,0.89,0.92,0.01,0.95,0.14,0.85,Exceeding Target,0.85,Meeting Target,0.87,Meeting Target,0.78,Approaching Target,0.74,Approaching Target,0.9,Meeting Target,Meeting Target,2.37,2.43,743,35,1,22,10,0,621,7,0,2,5,0,NA,NA,NA,NA,NA,NA,4.800000000000001,4,3,3,2,2,3,0.047106325706594884,0.02857142857142857,0.6285714285714286,0.2857142857142857,0,1,0,0.2857142857142857,0.7142857142857143,0,25
P.S. 068 CAMBRIDGE,24Q068,24,40.696839,-73.897308,"59-09 ST FELIX AVE RIDGEWOOD, NY 11385",RIDGEWOOD,11385,No,0.697,51952.8,0.2,0.04,0.03,0.83,0.86,0.09,0.94,0.2,0.86,Approaching Target,0.84,Meeting Target,0.91,Meeting Target,0.75,Approaching Target,0.78,Approaching Target,0.89,Meeting Target,Meeting Target,2.43,2.59,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,5.02,2,3,3,2,2,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
P.S. 071 FOREST,24Q071,24,40.7114,-73.904763,"62-85 FOREST AVE RIDGEWOOD, NY 11385",RIDGEWOOD,11385,No,0.658,50845.89,0.15,0.03,0.01,0.58,0.59,0.37,0.93,0.22,0.93,Exceeding Target,0.91,Exceeding Target,0.95,Meeting Target,0.84,Meeting Target,0.84,Meeting Target,0.95,Exceeding Target,Meeting Target,2.56,2.94,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,5.5,4,4,3,3,3,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
I.S. 73 - THE FRANK SANSIVIERI INTERMEDIATE SCHOOL,24Q073,24,40.728596,-73.893296,"70-02 54TH AVE MASPETH, NY 11378",MASPETH,11378,No,0.573,NA,0.15,0.27,0.01,0.59,0.6,0.13,0.95,0.12,0.85,Exceeding Target,0.86,Exceeding Target,0.79,Approaching Target,0.79,Meeting Target,0.71,Approaching Target,0.91,Meeting Target,Exceeding Target,2.7,2.94,646,118,0,39,50,29,649,161,0,54,77,29,NA,NA,NA,NA,NA,NA,5.640000000000001,4,4,2,3,2,3,0.1826625386996904,0,0.3305084745762712,0.423728813559322,0.2457627118644068,1,0,0.33540372670807456,0.4782608695652174,0.18012422360248448,93
I.S. 077,24Q077,24,40.699269,-73.901988,"976 SENECA AVE RIDGEWOOD, NY 11385",RIDGEWOOD,11385,No,0.687,NA,0.22,0.1,0.03,0.76,0.79,0.11,0.93,0.22,0.81,Meeting Target,0.9,Exceeding Target,0.82,Meeting Target,0.81,Meeting Target,0.69,Not Meeting Target,0.91,Meeting Target,Meeting Target,2.32,2.36,324,13,0,8,4,0,266,3,0,1,2,0,NA,NA,NA,NA,NA,NA,4.68,3,4,3,3,1,3,0.040123456790123455,0,0.6153846153846154,0.3076923076923077,0,1,0,0.3333333333333333,0.6666666666666666,0,9
P.S. 81Q JEAN PAUL RICHTER,24Q081,24,40.703852,-73.911939,"559 CYPRESS AVE GLENDALE, NY 11385",GLENDALE,11385,No,0.825,49318.07,0.22,0.06,0.01,0.87,0.89,0.05,0.96,0.09,0.86,Meeting Target,0.88,Meeting Target,0.91,Exceeding Target,0.84,Meeting Target,0.81,Approaching Target,0.94,Meeting Target,Exceeding Target,2.43,2.74,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,5.17,3,3,4,3,2,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
P.S./I.S. 087 MIDDLE VILLAGE,24Q087,24,40.711906,-73.871298,"67-54 80TH ST MIDDLE VILLAGE, NY 11379",MIDDLE VILLAGE,11379,No,0.5,62298.87,0.08,0.03,0.01,0.5,0.51,0.46,0.92,0.33,0.9,Meeting Target,0.71,Approaching Target,0.88,Approaching Target,0.59,Not Meeting Target,0.84,Meeting Target,0.8,Approaching Target,Meeting Target,2.7,2.72,61,18,0,8,0,0,61,0,0,0,0,0,NA,NA,NA,NA,NA,NA,5.42,3,2,2,1,3,2,0.29508196721311475,0,0.4444444444444444,0,0,NaN,NaN,NaN,NaN,NaN,8
P.S. 088 SENECA,24Q088,24,40.7041,-73.89641,"60-85 CATALPA AVE RIDGEWOOD, NY 11385",RIDGEWOOD,11385,No,0.607,50720.93,0.16,0.06,0.02,0.52,0.54,0.4,0.94,0.21,0.89,Meeting Target,0.93,Meeting Target,0.94,Meeting Target,0.82,Meeting Target,0.84,Meeting Target,0.95,Exceeding Target,Approaching Target,2.53,2.74,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,5.27,3,3,3,3,3,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
P.S. 089 ELMHURST,24Q089,24,40.745942,-73.879623,"85-28 BRITTON AVE ELMHURST, NY 11373",ELMHURST,11373,No,0.708,46836.11,0.41,0.21,0,0.77,0.77,0.01,0.96,0.06,0.84,Exceeding Target,0.82,Meeting Target,0.87,Exceeding Target,0.76,Meeting Target,0.79,Approaching Target,0.88,Meeting Target,Exceeding Target,2.72,2.89,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,5.61,4,3,4,3,2,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
P.S. 091 RICHARD ARKWRIGHT,24Q091,24,40.703479,-73.883974,"68-10 CENTRAL AVE GLENDALE, NY 11385",GLENDALE,11385,No,0.555,59573.24,0.1,0.04,0.03,0.49,0.52,0.44,0.93,0.22,0.94,Meeting Target,0.9,Meeting Target,0.9,Meeting Target,0.8,Meeting Target,0.83,Approaching Target,0.94,Meeting Target,Meeting Target,2.57,2.73,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,5.3,3,3,3,3,2,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
I.S. 093 RIDGEWOOD,24Q093,24,40.705855,-73.902827,"66-56 FOREST AVE RIDGEWOOD, NY 11385",RIDGEWOOD,11385,No,0.675,NA,0.15,0.1,0.01,0.71,0.72,0.17,0.95,0.16,0.84,Meeting Target,0.81,Meeting Target,0.84,Meeting Target,0.73,Approaching Target,0.71,Not Meeting Target,0.9,Meeting Target,Meeting Target,2.54,2.59,337,35,0,20,0,9,288,22,0,12,0,3,NA,NA,NA,NA,NA,NA,5.13,3,3,3,2,1,3,0.10385756676557864,0,0.5714285714285714,0,0.2571428571428571,1,0,0.5454545454545454,0,0.13636363636363635,32
P.S. 102 BAYVIEW,24Q102,24,40.73342,-73.87775,"55-24 VAN HORN ST ELMHURST, NY 11373",ELMHURST,11373,No,0.535,54319.34,0.13,0.6,0.03,0.33,0.36,0.03,0.96,0.13,0.91,Exceeding Target,0.89,Meeting Target,0.94,Exceeding Target,0.82,Meeting Target,0.8,Approaching Target,0.91,Meeting Target,Meeting Target,2.85,2.98,113,29,0,9,19,0,113,46,0,10,35,0,NA,NA,NA,NA,NA,NA,5.83,4,3,4,3,2,3,0.25663716814159293,0,0.3103448275862069,0.6551724137931034,0,1,0,0.21739130434782608,0.7608695652173914,0,19
P.S. 110,24Q110,24,40.745554,-73.86677,"96-18 43RD AVE CORONA, NY 11368",CORONA,11368,No,NA,42821.68,0.35,0.05,0.01,0.92,0.94,0.01,NA,NA,NA,N/A,NA,N/A,NA,N/A,NA,N/A,NA,N/A,NA,N/A,N/A,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
P.S./I.S. 113 ANTHONY J. PRANZO,24Q113,24,40.705243,-73.861935,"78-23 87TH ST GLENDALE, NY 11385",GLENDALE,11385,No,0.263,67491.07,0.04,0.05,0.01,0.4,0.41,0.52,0.96,0.09,0.94,Meeting Target,0.93,Meeting Target,0.92,Exceeding Target,0.87,Meeting Target,0.8,Approaching Target,0.92,Meeting Target,Meeting Target,2.89,3.13,110,30,0,10,0,19,110,22,0,6,0,15,NA,NA,NA,NA,NA,NA,6.02,3,3,4,3,2,3,0.2727272727272727,0,0.3333333333333333,0,0.6333333333333333,1,0,0.2727272727272727,0,0.6818181818181818,16
I.S. 119 THE GLENDALE,24Q119,24,40.705198,-73.875033,"74-01 78TH AVE GLENDALE, NY 11385",GLENDALE,11385,No,0.436,57397.18,0.04,0.25,0.01,0.3,0.32,0.42,0.95,0.13,0.89,Exceeding Target,0.87,Exceeding Target,0.84,Meeting Target,0.83,Meeting Target,0.75,Not Meeting Target,0.87,Meeting Target,Exceeding Target,3.13,3.38,235,93,0,21,0,45,115,13,0,4,3,6,NA,NA,NA,NA,NA,NA,6.51,4,4,3,3,1,3,0.39574468085106385,0,0.22580645161290322,0,0.4838709677419355,1,0,0.3076923076923077,0.23076923076923078,0.46153846153846156,25
I.S. 125 THOM J. MCCANN WOODSIDE,24Q125,24,40.741091,-73.918649,"46-02 47TH AVE WOODSIDE, NY 11377",WOODSIDE,11377,No,0.615,NA,0.15,0.4,0.01,0.53,0.54,0.05,0.96,0.1,0.9,Exceeding Target,0.91,Exceeding Target,0.88,Exceeding Target,0.84,Meeting Target,0.73,Approaching Target,0.93,Meeting Target,Exceeding Target,2.65,2.96,483,48,0,11,30,6,347,7,0,3,4,0,NA,NA,NA,NA,NA,NA,5.609999999999999,4,4,4,3,2,3,0.09937888198757763,0,0.22916666666666666,0.625,0.125,1,0,0.42857142857142855,0.5714285714285714,0,14
"P.S. 128 THE LORRAINE TUZZO, JUNIPER VALLEY ELEMENTARY SCHOOL",24Q128,24,40.715009,-73.886225,"69-10 65TH DR MIDDLE VILLAGE, NY 11379",MIDDLE VILLAGE,11379,No,0.18,71378.48,0.04,0.03,0.01,0.2,0.21,0.76,0.96,0.04,0.94,Meeting Target,0.9,Meeting Target,0.86,Meeting Target,0.83,Meeting Target,0.86,Meeting Target,0.92,Meeting Target,Meeting Target,3.08,3.23,91,26,0,0,0,19,57,3,0,0,0,3,NA,NA,NA,NA,NA,NA,6.3100000000000005,3,3,3,3,3,3,0.2857142857142857,0,0,0,0.7307692307692307,1,0,0,0,1,0
P.S. 143 LOUIS ARMSTRONG,24Q143,24,40.755182,-73.855476,"34-74 113TH ST CORONA, NY 11368",CORONA,11368,No,0.815,47813.37,0.48,0.05,0.02,0.93,0.94,0.01,0.95,0.15,0.83,Approaching Target,0.77,Approaching Target,0.87,Meeting Target,0.61,Not Meeting Target,0.81,Approaching Target,0.86,Meeting Target,Meeting Target,2.16,2.42,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,4.58,2,2,3,1,2,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
P.S. 153 MASPETH ELEM,24Q153,24,40.716288,-73.904467,"60-02 60TH LN MASPETH, NY 11378",MASPETH,11378,No,0.494,55585.29,0.1,0.07,0.01,0.45,0.46,0.46,0.95,0.14,0.91,Meeting Target,0.92,Meeting Target,0.93,Meeting Target,0.87,Meeting Target,0.83,Approaching Target,0.94,Exceeding Target,Exceeding Target,2.87,3.13,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,6,3,3,3,3,2,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
P.S. 199 MAURICE A. FITZGERALD,24Q199,24,40.739982,-73.926377,"39-20 48TH AVE LONG ISLAND CITY, NY 11104",LONG ISLAND CITY,11104,No,0.648,54053.95,0.37,0.32,0.01,0.59,0.6,0.07,0.95,0.12,0.85,Exceeding Target,0.84,Meeting Target,0.92,Meeting Target,0.77,Meeting Target,0.78,Approaching Target,0.91,Meeting Target,Meeting Target,2.63,2.78,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,5.41,4,3,3,3,2,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
P.S. 229 EMANUEL KAPLAN,24Q229,24,40.734493,-73.897209,"67-25 51ST RD WOODSIDE, NY 11377",WOODSIDE,11377,No,0.49,58328.09,0.08,0.35,0.02,0.39,0.41,0.23,0.96,0.1,0.87,Exceeding Target,0.93,Exceeding Target,0.95,Exceeding Target,0.87,Exceeding Target,0.82,Approaching Target,0.97,Exceeding Target,Exceeding Target,2.99,3.18,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,6.17,4,4,4,4,2,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
P.S. 239,24Q239,24,40.69943,-73.903833,"17-15 WEIRFIELD ST RIDGEWOOD, NY 11385",RIDGEWOOD,11385,No,0.796,41384.9,0.27,0.13,0.02,0.75,0.78,0.09,0.94,0.19,0.83,Approaching Target,0.86,Meeting Target,0.87,Meeting Target,0.79,Meeting Target,0.79,Approaching Target,0.94,Meeting Target,Meeting Target,2.37,2.53,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,4.9,2,3,3,3,2,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
A.C.E. ACADEMY FOR SCHOLARS AT THE GERALDINE FERRARO CAMPUS,24Q290,24,40.712656,-73.908184,"55-20 METROPOLITAN AVE RIDGEWOOD, NY 11385",RIDGEWOOD,11385,No,0.487,53809.35,0.08,0.2,0.03,0.47,0.5,0.27,0.95,0.11,0.9,Exceeding Target,0.88,Exceeding Target,0.94,Exceeding Target,0.75,Approaching Target,0.83,Approaching Target,0.89,Meeting Target,N/A,2.95,3.22,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,6.17,4,4,4,2,2,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
LEARNERS AND LEADERS,24Q305,24,40.706955,-73.914959,"378 SENECA AVE GLENDALE, NY 11385",GLENDALE,11385,No,0.741,50347.75,0.23,0.07,0.02,0.78,0.81,0.12,0.94,0.19,0.92,N/A,0.94,N/A,0.95,N/A,0.91,N/A,0.89,N/A,0.97,N/A,N/A,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
PIONEER ACADEMY,24Q307,24,40.749323,-73.865657,"40-20 100TH ST CORONA, NY 11368",CORONA,11368,No,0.787,41632.62,0.4,0.03,0.01,0.94,0.96,0.01,0.97,0.04,0.89,Meeting Target,0.86,Exceeding Target,0.93,Meeting Target,0.78,Approaching Target,0.83,Approaching Target,0.88,Meeting Target,Meeting Target,2.42,2.61,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,5.029999999999999,3,4,3,2,2,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
CORONA ARTS AND SCIENCES ACADEMY,24Q311,24,40.743204,-73.871482,"45-10 94TH ST ELMHURST, NY 11373",ELMHURST,11373,No,0.786,NA,0.18,0.04,0.01,0.94,0.95,0.01,0.98,0.01,0.98,Meeting Target,0.98,Meeting Target,0.89,Exceeding Target,0.96,Exceeding Target,0.8,Meeting Target,0.96,Exceeding Target,Meeting Target,2.47,2.54,87,5,0,5,0,0,90,4,0,2,0,0,NA,NA,NA,NA,NA,NA,5.01,3,3,4,4,3,4,0.05747126436781609,0,1,0,0,1,0,0.5,0,0,7
P.S. 330,24Q330,24,40.757821,-73.859123,"110-08 NORTHERN BLVD CORONA, NY 11368",CORONA,11368,No,0.785,49555.19,0.27,0.09,0.02,0.87,0.89,0.01,0.95,0.12,0.89,Meeting Target,0.87,Meeting Target,0.92,Exceeding Target,0.81,Meeting Target,0.82,Approaching Target,0.9,Meeting Target,N/A,2.3,2.62,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,4.92,3,3,4,3,2,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
"ROBERT F. WAGNER, JR. SECONDARY SCHOOL FOR ARTS AND TECHNOLOGY",24Q560,24,40.742708,-73.936328,"47-07 30TH PL LONG ISLAND CITY, NY 11101",LONG ISLAND CITY,11101,No,0.513,NA,0.04,0.22,0.05,0.61,0.65,0.12,0.96,0.04,0.91,Meeting Target,0.9,Meeting Target,0.87,Meeting Target,0.86,Meeting Target,0.68,Not Meeting Target,0.91,Meeting Target,Exceeding Target,3.21,3.28,39,7,0,2,2,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,6.49,3,3,3,3,1,3,0.1794871794871795,0,0.2857142857142857,0.2857142857142857,0,NaN,NaN,NaN,NaN,NaN,2
THE 51 AVENUE ACADEMY (THE PATH TO ACADEMIC EXCELLENCE),24Q877,24,40.737207,-73.887005,"76-05 51ST AVE ELMHURST, NY 11373",ELMHURST,11373,No,0.636,47662.76,0.27,0.6,0.01,0.38,0.39,0.02,0.98,0.03,0.91,Exceeding Target,0.91,Exceeding Target,0.97,Exceeding Target,0.83,Meeting Target,0.76,Approaching Target,0.93,Meeting Target,Exceeding Target,2.84,3.25,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,6.09,4,4,4,3,2,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
P.S. 020 JOHN BOWNE,25Q020,25,40.758365,-73.824407,"142-30 BARCLAY AVE FLUSHING, NY 11355",FLUSHING,11355,No,0.679,38731.69,0.31,0.75,0.03,0.19,0.23,0.01,0.97,0.07,0.89,Meeting Target,0.89,Meeting Target,0.91,Exceeding Target,0.83,Meeting Target,0.81,Approaching Target,0.93,Meeting Target,Meeting Target,2.66,3.28,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,5.9399999999999995,3,3,4,3,2,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
P.S. 021 EDWARD HART,25Q021,25,40.774168,-73.818543,"147-36 26TH AVE FLUSHING, NY 11354",FLUSHING,11354,No,0.481,56414.94,0.19,0.62,0.01,0.29,0.3,0.07,0.96,0.08,0.9,Exceeding Target,0.94,Exceeding Target,0.94,Exceeding Target,0.87,Exceeding Target,0.82,Meeting Target,0.95,Exceeding Target,Exceeding Target,2.96,3.28,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,6.24,4,4,4,4,3,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
P.S. 022 THOMAS JEFFERSON,25Q022,25,40.761748,-73.811379,"153-33 SANFORD AVE FLUSHING, NY 11355",FLUSHING,11355,No,0.606,49884.66,0.45,0.6,0,0.36,0.36,0.03,0.97,0.09,0.93,Exceeding Target,0.91,Exceeding Target,0.94,Exceeding Target,0.87,Meeting Target,0.84,Meeting Target,0.93,Meeting Target,Exceeding Target,2.83,3.34,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,6.17,4,4,4,3,3,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
P.S. 024 ANDREW JACKSON,25Q024,25,40.751762,-73.81778,"141-11 HOLLY AVE FLUSHING, NY 11355",FLUSHING,11355,No,0.544,40033.97,0.4,0.85,0.03,0.1,0.13,0.01,0.97,0.07,0.89,Exceeding Target,0.87,Meeting Target,0.93,Exceeding Target,0.75,Approaching Target,0.82,Approaching Target,0.87,Meeting Target,Exceeding Target,2.83,3.41,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,6.24,4,3,4,2,2,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
I.S. 025 ADRIEN BLOCK,25Q025,25,40.765017,-73.789689,"34-65 192ND ST FLUSHING, NY 11358",FLUSHING,11358,No,0.336,NA,0.1,0.5,0.01,0.24,0.25,0.24,0.97,0.06,0.87,Approaching Target,0.85,Meeting Target,0.85,Meeting Target,0.75,Approaching Target,0.69,Not Meeting Target,0.87,Meeting Target,Meeting Target,2.95,3.23,242,68,0,0,43,19,251,90,0,0,69,16,NA,NA,NA,NA,NA,NA,6.18,2,3,3,2,1,3,0.2809917355371901,0,0,0.6323529411764706,0.27941176470588236,1,0,0,0.7666666666666667,0.17777777777777778,0
P.S. 029 QUEENS,25Q029,25,40.777987,-73.842975,"125-10 23RD AVE COLLEGE POINT, NY 11356",COLLEGE POINT,11356,No,0.581,54307.52,0.26,0.29,0.02,0.57,0.59,0.12,0.95,0.16,0.95,Meeting Target,0.92,Exceeding Target,0.97,Meeting Target,0.83,Meeting Target,0.82,Approaching Target,0.94,Exceeding Target,Meeting Target,2.55,2.81,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,5.359999999999999,3,4,3,3,2,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
P.S. 032 STATE STREET,25Q032,25,40.76501,-73.794319,"171-11 35TH AVE FLUSHING, NY 11358",FLUSHING,11358,No,0.411,58764.47,0.13,0.66,0.01,0.19,0.2,0.12,0.97,0.07,0.94,Exceeding Target,0.97,Exceeding Target,0.95,Exceeding Target,0.94,Exceeding Target,0.88,Meeting Target,0.98,Exceeding Target,Meeting Target,3.08,3.58,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,6.66,4,4,4,4,3,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
P.S. 079 FRANCIS LEWIS,25Q079,25,40.785959,-73.817349,"147-27 15TH DR WHITESTONE, NY 11357",WHITESTONE,11357,No,0.269,69293.52,0.07,0.44,0.01,0.2,0.21,0.33,0.96,0.09,0.96,Meeting Target,0.97,Meeting Target,0.99,Meeting Target,0.91,Exceeding Target,0.85,Meeting Target,0.97,Exceeding Target,Meeting Target,3,3.4,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,6.4,3,3,3,4,3,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
P.S. 107 THOMAS A DOOLEY,25Q107,25,40.755444,-73.799406,"167-02 45TH AVE FLUSHING, NY 11358",FLUSHING,11358,No,0.426,63863.56,0.2,0.51,0.01,0.32,0.34,0.14,0.96,0.12,0.82,Approaching Target,0.8,Approaching Target,0.91,Meeting Target,0.65,Not Meeting Target,0.85,Meeting Target,0.83,Approaching Target,Meeting Target,2.71,3.16,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,5.87,2,2,3,1,3,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
P.S. 120 QUEENS,25Q120,25,40.745218,-73.828746,"58-01 136TH ST FLUSHING, NY 11355",FLUSHING,11355,No,0.606,43621.61,0.39,0.83,0.01,0.15,0.15,0.02,0.97,0.08,0.91,Meeting Target,0.83,Meeting Target,0.93,Exceeding Target,0.76,Approaching Target,0.76,Not Meeting Target,0.84,Approaching Target,Exceeding Target,2.71,3.27,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,5.98,3,3,4,2,1,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
P.S. 129 PATRICIA LARKIN,25Q129,25,40.789929,-73.839501,"128-02 7TH AVE COLLEGE POINT, NY 11356",COLLEGE POINT,11356,No,0.454,62563.19,0.14,0.31,0.02,0.51,0.52,0.15,0.94,0.16,0.94,Meeting Target,0.97,Exceeding Target,0.97,Exceeding Target,0.94,Exceeding Target,0.85,Meeting Target,0.98,Exceeding Target,Exceeding Target,2.95,3.3,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,6.25,3,4,4,4,3,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
P.S. 130,25Q130,26,40.760072,-73.783908,"200-01 42ND AVE BAYSIDE, NY 11361",BAYSIDE,11361,No,0.307,63770.09,0.13,0.53,0.03,0.18,0.21,0.23,0.95,0.14,0.99,N/A,0.97,N/A,0.99,N/A,0.91,N/A,0.89,N/A,0.98,N/A,N/A,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
P.S. 154 QUEENS,25Q154,25,40.726437,-73.807592,"75-02 162ND ST FLUSHING, NY 11366",FLUSHING,11366,No,0.549,51933.12,0.24,0.55,0.08,0.23,0.3,0.13,0.95,0.12,0.96,Exceeding Target,0.91,Meeting Target,0.96,Exceeding Target,0.89,Exceeding Target,0.83,Meeting Target,0.94,Exceeding Target,Approaching Target,2.63,2.93,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,5.5600000000000005,4,3,4,4,3,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
P.S. 163 FLUSHING HEIGHTS,25Q163,25,40.741093,-73.808757,"159-01 59TH AVE FLUSHING, NY 11365",FLUSHING,11365,No,0.478,56868.76,0.45,0.79,0.03,0.15,0.18,0.02,0.97,0.07,0.94,Exceeding Target,0.95,Meeting Target,0.95,Exceeding Target,0.9,Exceeding Target,0.81,Approaching Target,0.98,Exceeding Target,Meeting Target,2.87,3.35,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,6.220000000000001,4,3,4,4,2,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
